seed,soil,season,states,info,growth_days,fertilizers,irrigation
Rice,Alluvial,Kharif,Assam,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Water every 7–10 days
Wheat,Alluvial,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling - follow local extension recommendations","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Kharif,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Irrigate every 7–12 days in summer, 15–20 in winter (apply as needed)"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering - follow local extension recommendations",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen (apply as needed)",One irrigation at flowering if dry
Groundnut,Sandy loam,Rabi,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development (apply as needed)
Bajra (Pearl Millet),Light loam,Kharif,Maharashtra,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Black soil,Kharif,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal (apply as needed),Rainfed; irrigate at booting and grain filling (apply as needed)
Barley,Loamy,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal - follow local extension recommendations",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Sandy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Irrigate at branching, flowering, pod formation (apply as needed)"
Sunflower,Loamy,Rabi,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Water at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses - follow local extension recommendations","Irrigate at stolon formation, tuber bulking (apply as needed)"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation"
Tomato,Sandy loam,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits",Water every 6–8 days
Brinjal,Sandy loam,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Sandy loam,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Water every 10–12 days
Cauliflower,Sandy loam,Rabi,Bihar,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days (apply as needed)
Chilli,Loamy,Kharif,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering - follow local extension recommendations",Irrigate every 7–10 days
Carrot,Sandy loam,Rabi,Haryana,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Irrigate every 5–7 days
Lentil,Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Sandy loam,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation (apply as needed)
Turmeric,Loamy,Kharif,Odisha,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days
Ginger,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Black Pepper,Loamy,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days
Cardamom,Loamy,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months
Banana,Loamy,Annual,Maharashtra,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Water every 7–10 days
Mango,Alluvial,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Sandy loam,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days
Guava,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Water young plants, flowering, fruiting"
Apple,Loamy,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Water during fruit set and dry periods
Grapes,Loamy,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Water every 7–10 days
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days - follow local extension recommendations
Watermelon,Sandy loam,Summer,Karnataka,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting
Muskmelon,Sandy loam,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate at 7–10 day intervals - follow local extension recommendations
